srun: job 1150049 queued and waiting for resources
srun: job 1150049 has been allocated resources
srun: Job 1150049 scheduled successfully!
Current QUOTA_TYPE is [reserved], which means the job has occupied quota in RESERVED_TOTAL under your partition.
Current PHX_PRIORITY is normal

Explicitly passing a `revision` is encouraged when loading a model with custom code to ensure no malicious code has been contributed in a newer revision.
Explicitly passing a `revision` is encouraged when loading a configuration with custom code to ensure no malicious code has been contributed in a newer revision.
Explicitly passing a `revision` is encouraged when loading a model with custom code to ensure no malicious code has been contributed in a newer revision.
>>> openai_key:  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
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:10<00:10, 10.50s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  6.51s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:14<00:00,  7.11s/it]
The dtype of attention mask (torch.int64) is not bool
INFO:     Started server process [250643]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:5002 (Press CTRL+C to quit)
api IP = Host:Port =  10.140.24.72 : 5002
INFO:     10.1.8.5:57314 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42114 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42116 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42128 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:50358 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:50370 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:50372 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:41090 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:41096 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:43332 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:43336 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:43352 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42818 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42826 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42842 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:56428 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:56438 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:38702 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:38716 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:38718 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:59336 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:59344 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42646 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42650 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42664 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:57872 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:57888 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:57892 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:47540 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:47544 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:59392 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:59406 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42078 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:42090 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:41906 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:41916 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:41926 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:41938 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:46972 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:46986 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:51500 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:51502 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:60640 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:60644 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:60654 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:46956 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:46966 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:60410 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:60422 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:38722 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:38728 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:33024 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:33036 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:33042 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:35806 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:35812 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:48548 - "POST /generate HTTP/1.1" 200 OK
INFO:     10.1.8.5:48550 - "POST /generate HTTP/1.1" 200 OK
